Category ID	Category Name	Number	Name	Alternate Item Number	Weight (in Grams)	Dimensions
150	Minifigure, Torso	973pb0685	Torso World Racers - WR Logo on Orange Inset Front and Back Pattern		0.82	? x ? x ?
1097	Minifigure, Torso Assembly, Decor.	973pb0685c01	Torso World Racers - WR Logo on Orange Inset Front and Back Pattern / Orange Arms / Dark Bluish Gray Hands		1.25	? x ? x ?
150	Minifigure, Torso	973pb0686	Torso World Racers - Team Extreme with Vest with Belts and Radar Pattern		0.82	? x ? x ?
1097	Minifigure, Torso Assembly, Decor.	973pb0686c01	Torso World Racers - Team Extreme with Vest with Belts and Radar Pattern / White Arms / Black Hands		1.25	? x ? x ?
150	Minifigure, Torso	973pb0687	Torso World Racers - Vest and Tools on Front, Skull and Flames on Back Pattern		0.82	? x ? x ?
1097	Minifigure, Torso Assembly, Decor.	973pb0687c01	Torso World Racers - Vest and Tools on Front, Skull and Flames on Back Pattern / Black Arms / Yellow Hands		1.25	? x ? x ?
150	Minifigure, Torso	973pb0688	Torso World Racers - Checkered Pattern with Flames, Chest Hair on Front, Skull on Back		0.82	? x ? x ?
1097	Minifigure, Torso Assembly, Decor.	973pb0688c01	Torso World Racers - Checkered Pattern with Flames, Chest Hair on Front, Skull on Back / Black Arms / Yellow Hands		1.25	? x ? x ?
578	Wedge, Decorated	45301pb012	Wedge 16 x 4 Triple Curved with Reinforcements with Atlantis Pattern (Sticker) - Set 8058		8.6	16 x 4 x 1
579	Windscreen, Decorated	45705pb009	Windscreen 10 x 6 x 2 Curved with Atlantis Pattern (Sticker) - Set 8058		8	10 x 6 x 2
238	Minifigure, Head	3626pb0446	Minifigure, Head Dual Sided Black Thick Unibrow, Lower Eyelids and Scratches, Nougat Hair, Moustache and Goatee Stubble, Scared Wide Open Mouth with Teeth / Stern Pattern	3626bpb0446,3626cpb0446	0.54	? x ? x ?
238	Minifigure, Head	3626pb0447	Minifigure, Head Dual Sided Reddish Brown Eyebrows, Eyes and Spots, Light Bluish Gray Goggles with Bright Light Orange Lenses, Angry Smirk / Wide Open Mouth Smile with Teeth Pattern	3626bpb0447,3626cpb0447	0.54	? x ? x ?
238	Minifigure, Head	3626pb0448	Minifigure, Head Dual Sided Headset and Green Glasses with Red Bars, Glasses Down / Glasses Up and Mouth Open Pattern		0.54	? x ? x ?
27	Plate, Modified	89523	Plate, Modified 10 x 10 Octagonal with Hole		10.43	10 x 10 x 0
91	Panel	87421	Panel 3 x 3 x 6 Corner Wall without Bottom Indentations		3.7	3 x 3 x 6
113	Window	90195	Window 1 x 2 x 2 Castle		0.74	1 x 2 x 2
7	Brick, Modified	87620	Brick, Modified Facet 2 x 2		1	2 x 2 x 1
738	Flag, Decorated	2335pb063	Flag 2 x 2 Square with Gold Lion on Red and White Quarters Background Pattern		0.5	2 x 2 x 0
